id,tooltip,image
1001591723035725975,roflcord dev,https://cdn.discordapp.com/attachments/1123950498043666544/1150190330881253536/Screenshot_58.png
1001591723035725975,rofl booty shake,https://cdn.discordapp.com/attachments/928904163730022430/1082019620455727244/A365053C-C8BF-4837-B7B6-736A19ACAF1B.gif
1113429137294626981,rofls homies,https://cdn.discordapp.com/emojis/1146583781738807407.webp?size=160&quality=lossless
1018551539482230936,i need more boolets!,https://cdn.discordapp.com/attachments/688565126349324290/1147951406955892836/20230902184748-i8ApWdlU0Qg_I7LMs6Z1R_20230902184748-i8ApWdlU0Qg_I7LMs6Z1R.mp4
